flight,line,t_start,t_end,map_name
Flt1002,1002.02,46390.9,46964.5,
Flt1002,1002.02,47027.1,47546.3,
Flt1002,1002.2,66571.7,67131.8,
Flt1002,1002.2,67276.8,67839.2,
Flt1006,1006.02,47222.0,48213.0,
Flt1006,1006.04,49165.3,49798.5,
Flt1006,1006.04,49940.1,50318.5,
Flt1006,1006.04,50340.7,50804.2,
Flt1006,1006.04,50829.7,51301.7,
Flt1006,1006.04,51377.5,52013.8,
Flt1006,1006.04,52013.8,52372.0,
Flt1006,1006.04,52408.4,52843.1,
Flt1006,1006.04,52861.8,53286.0,
Flt1006,1006.06,53855.0,54510.0,
Flt1006,1006.08,55774.5,56192.0,Eastern_395
Flt1006,1006.08,56192.0,56609.0,Eastern_395
