flight,line,t_start,t_end,full_line,map_name,map_type,traj_alt
Flt1002,158.0,49310.0,49838.1,true,Renfrew_drape,drape,-1
Flt1002,160.0,50051.9,50560.5,true,Renfrew_drape,drape,-1
Flt1002,1367.0,50903.8,51444.4,true,Renfrew_drape,drape,-1
Flt1002,1368.0,51773.5,52294.9,true,Renfrew_drape,drape,-1
Flt1002,1369.0,52515.2,53079.2,true,Renfrew_drape,drape,-1
Flt1002,1002.08,53410.0,53550.8,false,Eastern_drape,drape,-1
Flt1002,3084.0,53550.8,54099.4,true,Eastern_drape,drape,-1
Flt1002,3085.0,54376.8,54910.6,true,Eastern_drape,drape,-1
Flt1002,3086.0,55142.4,55691.0,true,Eastern_drape,drape,-1
Flt1002,1002.13,57319.2,57489.0,true,Eastern_drape,drape,-1
Flt1002,1002.15,60846.0,61080.0,false,Eastern_drape,drape,-1
Flt1002,1002.17,63935.0,65812.0,true,Renfrew_555,HAE,555
Flt1003,1003.01,50047.0,50713.0,false,Eastern_395,HAE,395
Flt1003,1003.02,50713.0,54497.0,true,Eastern_395,HAE,398
Flt1003,1003.04,55835.0,59475.0,false,Eastern_395,HAE,800
Flt1003,1003.07,60105.0,60243.0,true,Renfrew_395,HAE,396
Flt1003,1003.08,60243.0,64586.0,true,Renfrew_395,HAE,397
Flt1004,1004.01,44700.0,45175.3,false,Eastern_395,HAE,824
Flt1004,4019.0,45175.4,45746.4,true,Eastern_395,HAE,797
Flt1004,4018.0,45901.4,46489.1,true,Eastern_395,HAE,798
Flt1004,4017.0,46600.8,47185.9,true,Eastern_395,HAE,799
Flt1004,4016.0,47355.3,47947.7,true,Eastern_395,HAE,799
Flt1004,421.0,48136.4,48305.7,true,Eastern_395,HAE,802
Flt1004,419.0,48495.5,48685.7,true,Eastern_395,HAE,803
Flt1004,417.0,48809.7,48987.5,true,Eastern_395,HAE,802
Flt1004,415.0,49242.2,49444.4,true,Eastern_395,HAE,804
Flt1004,413.0,49575.1,49743.7,true,Eastern_395,HAE,811
Flt1004,411.0,49909.7,50098.6,true,Eastern_395,HAE,808
Flt1004,409.0,50227.4,50390.9,true,Eastern_395,HAE,805
Flt1004,408.0,50526.1,50717.6,true,Eastern_395,HAE,799
Flt1004,407.0,50809.2,50973.1,true,Eastern_395,HAE,799
Flt1004,405.0,51125.3,51336.3,true,Eastern_395,HAE,798
Flt1004,403.0,51458.8,51626.8,true,Eastern_395,HAE,802
Flt1004,401.0,51805.4,51999.6,true,Eastern_395,HAE,799
Flt1004,4015.0,52256.1,52862.1,true,Eastern_395,HAE,803
Flt1004,4012.0,54518.2,55115.2,true,Eastern_395,HAE,801
Flt1004,4001.0,55285.8,55891.2,true,Eastern_395,HAE,801
Flt1004,1004.02,55891.3,56585.0,false,Eastern_395,HAE,804
Flt1005,4011.0,48085.0,48666.6,true,Eastern_395,HAE,800
Flt1005,4010.0,48847.2,49498.5,true,Eastern_395,HAE,806
Flt1005,4009.0,49659.7,50241.6,true,Eastern_395,HAE,805
Flt1005,4008.0,50482.5,51080.5,true,Eastern_395,HAE,798
Flt1005,4007.0,51260.9,51848.3,true,Eastern_395,HAE,801
Flt1005,4004.0,53471.7,54063.8,true,Eastern_395,HAE,799
Flt1005,4003.0,54232.7,54811.7,true,Eastern_395,HAE,799
Flt1005,4002.0,55006.1,55605.5,true,Eastern_395,HAE,798
Flt1005,1005.02,55828.0,56228.0,false,Eastern_395,HAE,1246
Flt1006,1006.08,55770.0,56609.0,true,Eastern_395,HAE,397
Flt1006,1006.09,56965.0,57480.0,false,Eastern_395,HAE,574
Flt1007,1007.01,47705.0,48024.0,false,Eastern_395,HAE,798
Flt1007,1007.02,48024.0,51880.0,true,Eastern_395,HAE,799
Flt1007,1007.06,57770.0,63010.0,true,Renfrew_395,HAE,397
